amfi_code,scheme_name,alpha_annual,beta,r_squared,alpha_rank
119598,SBI Small Cap Fund - Regular Plan - Growth,30.1113,0.0743,0.0014,1
149324,DSP Small Cap Fund - Regular - Growth,29.8176,0.1327,0.0047,2
120505,ICICI Pru Midcap Fund - Regular - Growth,29.3014,-0.0174,0.0001,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.3474,-0.0102,0.0001,4
120843,Kotak Flexicap Fund - Regular - Growth,27.2784,-0.0087,0.0001,5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.2343,-0.0112,0.0001,6
148567,Mirae Asset Large Cap Fund - Regular - Growth,27.1151,-0.0282,0.0007,7
149323,DSP Midcap Fund - Regular - Growth,26.5836,0.0035,0.0,8
119094,Axis Midcap Fund - Regular - Growth,25.9972,-0.0599,0.0016,9
119551,SBI Bluechip Fund - Regular Plan - Growth,23.2197,-0.0561,0.0028,10
118632,Nippon India Large Cap Fund - Regular - Growth,21.728,0.0365,0.0011,11
101206,ABSL Frontline Equity Fund - Regular - Growth,21.3944,0.0338,0.0009,12
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.2094,0.017,0.0002,13
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.7917,0.0001,0.0,14
119552,SBI Bluechip Fund - Direct Plan - Growth,19.8294,-0.0199,0.0003,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.8913,-0.0055,0.0,16
118634,Nippon India Small Cap Fund - Regular - Growth,17.8002,0.0091,0.0,17
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.5879,-0.0041,0.0,18
102885,UTI Nifty 50 Index Fund - Regular - Growth,16.9927,-0.0019,0.0,19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.2836,0.0477,0.0016,20
102887,UTI Flexi Cap Fund - Regular - Growth,16.1792,0.0402,0.0011,21
118633,Nippon India Large Cap Fund - Direct - Growth,15.5038,0.0132,0.0001,22
118635,Nippon India ETF Nifty 50 BeES,15.1606,-0.0138,0.0002,23
149322,DSP Top 100 Equity Fund - Regular - Growth,13.1299,0.0149,0.0002,24
120841,Kotak Bluechip Fund - Regular - Growth,13.0682,0.0417,0.0016,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,12.0554,-0.0185,0.0002,26
101207,ABSL Small Cap Fund - Regular - Growth,10.8206,-0.0599,0.0009,27
119093,Axis Bluechip Fund - Direct - Growth,8.3299,-0.0084,0.0001,28
120842,Kotak Emerging Equity Fund - Regular - Growth,7.8587,0.0006,0.0,29
119092,Axis Bluechip Fund - Regular - Growth,6.9702,-0.0196,0.0003,30
120507,ICICI Pru Liquid Fund - Regular - Growth,6.7472,-0.0011,0.0009,31
120844,Kotak Liquid Fund - Regular - Growth,6.4546,-0.0001,0.0,32
101208,ABSL Liquid Fund - Regular - Growth,6.0842,0.0013,0.0011,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.5763,0.012,0.0015,34
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.0963,-0.0085,0.0008,35
119599,SBI Small Cap Fund - Direct Plan - Growth,5.0572,0.0077,0.0,36
119095,Axis Small Cap Fund - Regular - Growth,4.568,0.0133,0.0,37
100025,HDFC Short Term Debt Fund - Regular - Growth,4.319,-0.0162,0.0028,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.6221,-0.0259,0.0005,39
102886,UTI Mid Cap Fund - Regular - Growth,2.895,-0.0615,0.0019,40
