amfi_code,scheme_name,cagr_3yr,sharpe_ratio,sortino_ratio,alpha_annual,beta,max_drawdown,expense_ratio,r_cagr3,r_sharpe,r_alpha,r_exp,r_mdd,score,rank
120505,ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,0.904,1.3165,29.3014,-0.0174,-18.19,1.36,90.0,92.5,95.0,62.5,60.0,84.5,1
119094,Axis Midcap Fund - Regular - Growth,35.11180209642853,0.7345,1.0608,25.9972,-0.0599,-20.96,1.38,100.0,80.0,80.0,57.49999999999999,67.5,81.38,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.442459421956116,0.8223,1.1631,27.2343,-0.0112,-16.22,1.38,92.5,85.0,87.5,57.49999999999999,47.5,79.88,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,1.0456,1.457,27.1151,-0.0282,-11.27,1.46,97.5,100.0,85.0,42.50000000000001,17.500000000000004,79.38,4
120843,Kotak Flexicap Fund - Regular - Growth,29.58277033726251,0.9462,1.4484,27.2784,-0.0087,-12.97,1.45,85.0,97.5,90.0,44.99999999999999,30.000000000000004,77.62,5
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,0.7233,1.0836,30.1113,0.0743,-28.71,1.43,72.5,75.0,100.0,47.5,87.5,76.38,6
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,0.7306,1.0868,21.2094,0.017,-12.59,0.8,95.0,77.5,70.0,70.0,27.500000000000004,75.12,7
149324,DSP Small Cap Fund - Regular - Growth,27.000426614519245,0.7228,1.0422,29.8176,0.1327,-31.17,1.52,77.5,72.5,97.5,33.75,90.0,74.94,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,0.911,1.3411,28.3474,-0.0102,-16.4,1.6,82.5,95.0,92.5,8.750000000000002,50.0,73.31,9
119551,SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,0.8625,1.2948,23.2197,-0.0561,-15.01,1.54,87.5,90.0,77.5,23.750000000000004,40.0,71.81,10
118632,Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,0.7604,1.1018,21.728,0.0365,-17.41,1.51,67.5,82.5,75.0,38.74999999999999,55.00000000000001,67.19,11
149323,DSP Midcap Fund - Regular - Growth,26.869990828902203,0.8329,1.1682,26.5836,0.0035,-17.25,1.61,75.0,87.5,82.5,5.000000000000004,52.5,66.88,12
118633,Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,0.4093,0.6199,15.5038,0.0132,-18.63,0.72,65.0,55.00000000000001,47.5,86.25,62.5,61.94,13
119552,SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,0.6745,0.9661,19.8294,-0.0199,-11.8,0.66,45.0,67.5,65.0,90.0,25.0,59.38,14
101206,ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,0.7165,1.0629,21.3944,0.0338,-11.29,1.6,80.0,70.0,72.5,8.750000000000002,19.999999999999996,59.31,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,0.5055,0.7339,17.8913,-0.0055,-15.2,0.92,55.00000000000001,60.0,62.5,65.0,42.50000000000001,58.0,16
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,0.4044,0.578,16.2836,0.0477,-19.83,1.41,52.5,50.0,52.5,52.5,65.0,53.12,17
119093,Axis Bluechip Fund - Direct - Growth,20.816771175535862,-0.0465,-0.0671,8.3299,-0.0084,-21.75,0.75,62.5,32.5,32.5,80.0,75.0,52.88,18
118635,Nippon India ETF Nifty 50 BeES,20.00820838047148,0.4078,0.5902,15.1606,-0.0138,-11.51,0.89,60.0,52.5,45.0,67.5,22.499999999999996,52.5,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,0.6228,0.9284,20.7917,0.0001,-15.27,1.52,42.5,65.0,67.5,33.75,44.99999999999999,52.06,20
